trend_72_12_start,trend_82_12_start,trend_92_12_start,trend_02_12_start,trend_end,Site_no,paramShortName,trend_72_12,trend_82_12,trend_92_12,trend_02_12,station_nm,Gage_number,shortName,staAbbrev,constitAbbrev,drainSqKm,paStart,paLong,windowY,windowQ,windowS,minNumObs,minNumUncen,edgeAdjust,bootBreak,blockLength,nBoot,qUnit,agency_cd,site_tp_cd,dec_lat_va,dec_long_va,dec_coord_datum_cd,state_cd,country_cd,huc_cd,drain_area_va,contrib_drain_area_va,param_nm,param_units,paramNumber,blank_start1,blank_end1,blank_start2,blank_end2
,,,2002,2012,01188090,Total Nitrogen,N,N,N,Y,"FARMINGTON RIVER AT UNIONVILLE, CT.",01188090,"FARMINGTON RIVER AT UNIONVILLE, CT.",CT,TN,978.6,10,12,7,2,0.5,80.25,53.5,TRUE,100,100,100,1,,ST,41.7559325,-72.88676778,NAD83,CT,US,01080207,,,Total Nitrogen,mg/l as N,,10/01/1971,09/30/2001,,
,,1992,2002,2012,01188090,Total Phosphorus,N,N,Y,Y,"FARMINGTON RIVER AT UNIONVILLE, CT.",01188090,"FARMINGTON RIVER AT UNIONVILLE, CT.",CT,TP,978.6,10,12,7,2,0.5,81.75,54.5,TRUE,100,100,100,1,,ST,41.7559325,-72.88676778,NAD83,CT,US,01080207,,,Total Phosphorus,mg/l as P,,10/01/1971,09/30/1991,,
1973,1982,1992,,2012,01189995,Ammonia,Y,Y,Y,N,"FARMINGTON RIVER AT TARIFFVILLE, CT.",01189995,"FARMINGTON RIVER AT TARIFFVILLE, CT.",CT,NH4,1492.4,10,12,7,2,0.5,100,206,TRUE,100,100,100,1,,ST,41.9084308,-72.7606506,NAD83,CT,US,01080207,,,Ammonia,mg/l as N,,,,,
1973,1982,1992,,2012,01189995,Nitrite plus nitrate,Y,Y,Y,N,"FARMINGTON RIVER AT TARIFFVILLE, CT.",01189995,"FARMINGTON RIVER AT TARIFFVILLE, CT.",CT,NO23,1492.4,10,12,7,2,0.5,100,206,TRUE,100,100,100,1,,ST,41.9084308,-72.7606506,NAD83,CT,US,01080207,,,Nitrite plus nitrate,mg/l as N,,,,,
,,1993,,2012,01189995,"Orthophosphate, filtered",N,N,Y,N,"FARMINGTON RIVER AT TARIFFVILLE, CT.",01189995,"FARMINGTON RIVER AT TARIFFVILLE, CT.",CT,OrthoP_F,1492.4,10,12,7,2,0.5,100,96,TRUE,100,100,100,1,,ST,41.9084308,-72.7606506,NAD83,CT,US,01080207,,,"Orthophosphate, filtered",mg/l as P,,10/01/1971,09/30/1991,,
1973,1982,,,2012,01189995,Total Nitrogen,Y,Y,N,N,"FARMINGTON RIVER AT TARIFFVILLE, CT.",01189995,"FARMINGTON RIVER AT TARIFFVILLE, CT.",CT,TN,1492.4,10,12,7,2,0.5,100,205.5,TRUE,100,100,100,1,,ST,41.9084308,-72.7606506,NAD83,CT,US,01080207,,,Total Nitrogen,mg/l as N,,10/01/1991,09/30/2001,,
1972,1982,1992,,2012,01189995,Total Phosphorus,Y,Y,Y,N,"FARMINGTON RIVER AT TARIFFVILLE, CT.",01189995,"FARMINGTON RIVER AT TARIFFVILLE, CT.",CT,TP,1492.4,10,12,7,2,0.5,100,211,TRUE,100,100,100,1,,ST,41.9084308,-72.7606506,NAD83,CT,US,01080207,,,Total Phosphorus,mg/l as P,,,,,
,,1992,2002,2012,01192500,Ammonia,N,N,Y,Y,"HOCKANUM RIVER NEAR EAST HARTFORD, CT.",01192500,"HOCKANUM RIVER NEAR EAST HARTFORD, CT.",CT,NH4,191.9,10,12,7,2,0.5,100,96.5,TRUE,100,100,100,1,,ST,41.7831547,-72.58731139,NAD83,CT,US,01080205,,,Ammonia,mg/l as N,,10/01/1971,09/30/1991,,
,,1992,2002,2012,01192500,Nitrite plus nitrate,N,N,Y,Y,"HOCKANUM RIVER NEAR EAST HARTFORD, CT.",01192500,"HOCKANUM RIVER NEAR EAST HARTFORD, CT.",CT,NO23,191.9,10,12,7,2,0.5,100,98,TRUE,100,100,100,1,,ST,41.7831547,-72.58731139,NAD83,CT,US,01080205,,,Nitrite plus nitrate,mg/l as N,,10/01/1971,09/30/1991,,
,,1993,2002,2012,01192500,"Orthophosphate, filtered",N,N,Y,Y,"HOCKANUM RIVER NEAR EAST HARTFORD, CT.",01192500,"HOCKANUM RIVER NEAR EAST HARTFORD, CT.",CT,OrthoP_F,191.9,10,12,7,2,0.5,100,92,TRUE,100,100,100,1,,ST,41.7831547,-72.58731139,NAD83,CT,US,01080205,,,"Orthophosphate, filtered",mg/l as P,,10/01/1971,09/30/1991,,
,,1992,2002,2012,01192500,Total Nitrogen,N,N,Y,Y,"HOCKANUM RIVER NEAR EAST HARTFORD, CT.",01192500,"HOCKANUM RIVER NEAR EAST HARTFORD, CT.",CT,TN,191.9,10,12,7,2,0.5,100,97.5,TRUE,100,100,100,1,,ST,41.7831547,-72.58731139,NAD83,CT,US,01080205,,,Total Nitrogen,mg/l as N,,10/01/1971,09/30/1991,,
,,1992,2002,2012,01192500,Total Phosphorus,N,N,Y,Y,"HOCKANUM RIVER NEAR EAST HARTFORD, CT.",01192500,"HOCKANUM RIVER NEAR EAST HARTFORD, CT.",CT,TP,191.9,10,12,7,2,0.5,100,98,TRUE,100,100,100,1,,ST,41.7831547,-72.58731139,NAD83,CT,US,01080205,,,Total Phosphorus,mg/l as P,,10/01/1971,09/30/1991,,
,1982,,2002,2012,01200600,Nitrite plus nitrate,N,Y,N,Y,"HOUSATONIC R NR NEW MILFORD, CT",01200500,"HOUSATONIC R NR NEW MILFORD, CT",CT,NO23,2650.6,10,12,7,2,0.5,100,161,TRUE,100,100,100,1,,ST,41.59315,-73.4495669,NAD83,CT,US,01100005,,,Nitrite plus nitrate,mg/l as N,,10/01/1971,09/30/1981,10/01/1991,09/30/2001
,1982,,2002,2012,01200600,Total Nitrogen,N,Y,N,Y,"HOUSATONIC R NR NEW MILFORD, CT",01200500,"HOUSATONIC R NR NEW MILFORD, CT",CT,TN,2650.6,10,12,7,2,0.5,100,160.5,TRUE,100,100,100,1,,ST,41.59315,-73.4495669,NAD83,CT,US,01100005,,,Total Nitrogen,mg/l as N,,10/01/1971,09/30/1981,10/01/1991,09/30/2001
,1982,,2002,2012,01200600,Total Phosphorus,N,Y,N,Y,"HOUSATONIC R NR NEW MILFORD, CT",01200500,"HOUSATONIC R NR NEW MILFORD, CT",CT,TP,2650.6,10,12,7,2,0.5,100,161,TRUE,100,100,100,1,,ST,41.59315,-73.4495669,NAD83,CT,US,01100005,,,Total Phosphorus,mg/l as P,,10/01/1971,09/30/1981,10/01/1991,09/30/2001
,,,2003,2012,01201487,Ammonia,N,N,N,Y,"STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT.",01201487,"STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT.",CT,NH4,165,10,12,7,2,0.5,78,52,TRUE,100,100,100,1,,ST,41.466206,-73.403176,NAD83,CT,US,01100005,,,Ammonia,mg/l as N,,10/01/1971,09/30/2001,,
,,,2003,2012,01201487,Nitrite plus nitrate,N,N,N,Y,"STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT.",01201487,"STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT.",CT,NO23,165,10,12,7,2,0.5,78.75,52.5,TRUE,100,100,100,1,,ST,41.466206,-73.403176,NAD83,CT,US,01100005,,,Nitrite plus nitrate,mg/l as N,,10/01/1971,09/30/2001,,
,,,2003,2012,01201487,"Orthophosphate, filtered",N,N,N,Y,"STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT.",01201487,"STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT.",CT,OrthoP_F,165,10,12,7,2,0.5,78.75,52.5,TRUE,100,100,100,1,,ST,41.466206,-73.403176,NAD83,CT,US,01100005,,,"Orthophosphate, filtered",mg/l as P,,10/01/1971,09/30/2001,,
,,,2003,2012,01201487,Total Nitrogen,N,N,N,Y,"STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT.",01201487,"STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT.",CT,TN,165,10,12,7,2,0.5,78.75,52.5,TRUE,100,100,100,1,,ST,41.466206,-73.403176,NAD83,CT,US,01100005,,,Total Nitrogen,mg/l as N,,10/01/1971,09/30/2001,,
,,,2003,2012,01201487,Total Phosphorus,N,N,N,Y,"STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT.",01201487,"STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT.",CT,TP,165,10,12,7,2,0.5,78.75,52.5,TRUE,100,100,100,1,,ST,41.466206,-73.403176,NAD83,CT,US,01100005,,,Total Phosphorus,mg/l as P,,10/01/1971,09/30/2001,,
1973,1982,1992,2002,2012,01205500,Ammonia,Y,Y,Y,Y,"HOUSATONIC RIVER AT STEVENSON, CT.",01205500,"HOUSATONIC RIVER AT STEVENSON, CT.",CT,NH4,3992,10,12,7,2,0.5,100,195,TRUE,100,100,100,1,,ST,41.38398528,-73.1676119,NAD83,CT,US,01100005,,,Ammonia,mg/l as N,,,,,
1973,1982,1992,2002,2012,01205500,Nitrite plus nitrate,Y,Y,Y,Y,"HOUSATONIC RIVER AT STEVENSON, CT.",01205500,"HOUSATONIC RIVER AT STEVENSON, CT.",CT,NO23,3992,10,12,7,2,0.5,100,196.5,TRUE,100,100,100,1,,ST,41.38398528,-73.1676119,NAD83,CT,US,01100005,,,Nitrite plus nitrate,mg/l as N,,,,,
,1982,1992,2002,2012,01205500,"Orthophosphate, filtered",N,Y,Y,Y,"HOUSATONIC RIVER AT STEVENSON, CT.",01205500,"HOUSATONIC RIVER AT STEVENSON, CT.",CT,OrthoP_F,3992,10,12,7,2,0.5,100,124,TRUE,100,100,100,1,,ST,41.38398528,-73.1676119,NAD83,CT,US,01100005,,,"Orthophosphate, filtered",mg/l as P,,10/01/1971,09/30/1981,,
1973,1982,1992,2002,2012,01205500,Total Nitrogen,Y,Y,Y,Y,"HOUSATONIC RIVER AT STEVENSON, CT.",01205500,"HOUSATONIC RIVER AT STEVENSON, CT.",CT,TN,3992,10,12,7,2,0.5,100,192,TRUE,100,100,100,1,,ST,41.38398528,-73.1676119,NAD83,CT,US,01100005,,,Total Nitrogen,mg/l as N,,,,,
1972,1982,1992,2002,2012,01205500,Total Phosphorus,Y,Y,Y,Y,"HOUSATONIC RIVER AT STEVENSON, CT.",01205500,"HOUSATONIC RIVER AT STEVENSON, CT.",CT,TP,3992,10,12,7,2,0.5,100,220.5,TRUE,100,100,100,1,,ST,41.38398528,-73.1676119,NAD83,CT,US,01100005,,,Total Phosphorus,mg/l as P,,,,,
,1982,1992,2002,2012,01208500,Ammonia,N,Y,Y,Y,"NAUGATUCK RIVER AT BEACON FALLS, CT.",01208500,"NAUGATUCK RIVER AT BEACON FALLS, CT.",CT,NH4,674,10,12,7,2,0.5,100,210.5,TRUE,100,100,100,1,,ST,41.44231889,-73.06260778,NAD83,CT,US,01100005,,,Ammonia,mg/l as N,,10/01/1971,09/30/1981,,
,1982,1992,2002,2012,01208500,Nitrite plus nitrate,N,Y,Y,Y,"NAUGATUCK RIVER AT BEACON FALLS, CT.",01208500,"NAUGATUCK RIVER AT BEACON FALLS, CT.",CT,NO23,674,10,12,7,2,0.5,100,211.5,TRUE,100,100,100,1,,ST,41.44231889,-73.06260778,NAD83,CT,US,01100005,,,Nitrite plus nitrate,mg/l as N,,10/01/1971,09/30/1981,,
